# Moment      
# CofR        : (2.293280e+01 0.000000e+00 -2.860000e-01)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.1            2.615398e-02 2.130233e+02 4.342876e-02 2.615441e-02 2.131153e+02 4.342572e-02 -4.274102e-07 -9.195622e-02 3.043183e-06
0.2            1.598186e-02 1.552283e+02 2.262739e-02 1.598198e-02 1.553886e+02 2.262769e-02 -1.178329e-07 -1.602837e-01 -2.986466e-07
0.3            -3.928353e-01 7.449374e+01 -6.489938e-02 -3.928368e-01 7.471147e+01 -6.489620e-02 1.497763e-06 -2.177329e-01 -3.175476e-06
0.4            2.205935e-02 1.039403e+02 7.555214e-03 2.205811e-02 1.041931e+02 7.561528e-03 1.244219e-06 -2.527839e-01 -6.314096e-06
0.5            1.346938e-01 4.306181e+01 -8.700654e-02 1.346922e-01 4.333046e+01 -8.699966e-02 1.597237e-06 -2.686546e-01 -6.879558e-06
0.6            4.053635e-02 -6.364126e+01 2.295663e-02 4.053272e-02 -6.337167e+01 2.296423e-02 3.628426e-06 -2.695903e-01 -7.596408e-06
0.7            1.041073e-02 -5.781316e+01 1.160545e-02 1.040499e-02 -5.755776e+01 1.161278e-02 5.741522e-06 -2.553976e-01 -7.327161e-06
0.8            -1.715950e-02 -9.879192e+01 1.126881e-02 -1.716526e-02 -9.855879e+01 1.127521e-02 5.764363e-06 -2.331298e-01 -6.394203e-06
0.9            -3.063288e-01 -1.319245e+02 5.494271e-02 -3.063312e-01 -1.317207e+02 5.494884e-02 2.353741e-06 -2.037509e-01 -6.128455e-06
1              -9.576777e-03 -1.780552e+02 1.046019e-01 -9.575100e-03 -1.778851e+02 1.046090e-01 -1.677415e-06 -1.701102e-01 -7.149928e-06
1.1            -1.213509e-02 -1.759471e+02 1.166988e-01 -1.213122e-02 -1.758159e+02 1.167065e-01 -3.864657e-06 -1.311985e-01 -7.763164e-06
